Supplementary File 5.7: Pairwise comparison of normalized counts at the genus level using parametric t-test. Parametic t-tests were not carried out in comparison with LB because n = 1
                    GENUS                                   Taxonomy                Combined Abundance p <0.05, log2 fold change >|1.5|                                       LEGEND
                                                                                                       MBB vs LB  MBB vs BLBMBB vs JBLB vs BLBLB vs JBBLB vs JB               I* = significant (p<0.05) increase (log2fold change > 1.5).
Blastocatella                                D_0__Bacteria, D_1__Acidobacteria, D_2                3517PA         N         N        AP       AP      N                       I = no significant (p> 0.05) increase (log2fold change > 1.5).  
Corynebacterium 1                            D_0__Bacteria, D_1__Actinobacteria, D_                2956PA         N         D        AP       AP      D                       D* = significant (p<0.05) decrease (log2fold change < -1.5).
Blastococcus                                 D_0__Bacteria, D_1__Actinobacteria, D_                1646PA         PA        D        AA       AP      AP                      D = no significant (p> 0.05) decrease (log2fold change <- 1.5). 
Brevibacterium                               D_0__Bacteria, D_1__Actinobacteria, D_                1095PA         PA        I        AA       AP      AP                      N = no significant with increase/decrease within -1.5 and 1.5 lo
Ambiguous_taxa-1                             D_0__Bacteria, D_1__Actinobacteria, D_                1068PA         D         PA       AP       AA      PA                      AA = Absent in both
Ornithinimicrobium                           D_0__Bacteria, D_1__Actinobacteria, D_                5530PA         D         D        AP       AP      N                       AP = Absent in first, Present in second
Serinicoccus                                 D_0__Bacteria, D_1__Actinobacteria, D_                 830AA         PA        N        AA       AP      AP                      PA = Present in first, Absent in second
Cryobacterium                                D_0__Bacteria, D_1__Actinobacteria, D_                 821PA         AA        AP       AA       AP      AP                      * = SIGNIFICANT
Curtobacterium                               D_0__Bacteria, D_1__Actinobacteria, D_                3585PA         D         D        AP       AP      D
Kocuria                                      D_0__Bacteria, D_1__Actinobacteria, D_                2120N          D         D        AP       AP      N
Micrococcus                                  D_0__Bacteria, D_1__Actinobacteria, D_                 741PA         PA        D        PA       D       AP
Rothia                                       D_0__Bacteria, D_1__Actinobacteria, D_                1830PA         PA        I        AA       AP      AP
Microlunatus                                 D_0__Bacteria, D_1__Actinobacteria, D_                 744PA         D         D        AP       AP      N
Pseudonocardia                               D_0__Bacteria, D_1__Actinobacteria, D_                 771AA         D         D        AP       AP      N
Bacteroides                                  D_0__Bacteria, D_1__Bacteroidetes, D_2                 963AA         AP        AP       AP       AP      D
Ambiguous_taxa-2                             D_0__Bacteria, D_1__Bacteroidetes, D_2                 675AA         AP        AA       AP       AA      PA
uncultured rumen bacterium                   D_0__Bacteria, D_1__Bacteroidetes, D_2                 831AA         AP        AA       AP       AA      PA
Prevotella 1                                 D_0__Bacteria, D_1__Bacteroidetes, D_2               29999AA         AP*       AP       AP       AP      I*
Prevotella 7                                 D_0__Bacteria, D_1__Bacteroidetes, D_2                2276AA         AP        AA       AP       AA      PA
Prevotellaceae Ga6A1 group                   D_0__Bacteria, D_1__Bacteroidetes, D_2                1431AA         AP        AA       AP       AA      PA
Prevotellaceae UCG-001                       D_0__Bacteria, D_1__Bacteroidetes, D_2                1524AA         AP        AA       AP       AA      PA
Prevotellaceae YAB2003 group                 D_0__Bacteria, D_1__Bacteroidetes, D_2                2879PA         AP        AP       AP       AP      I
Chryseobacterium                             D_0__Bacteria, D_1__Bacteroidetes, D_2                2425PA         I         N        AP       AP      D
Flavobacterium                               D_0__Bacteria, D_1__Bacteroidetes, D_2                6293PA         PA        I        AA       AP      AP
Vitellibacter                                D_0__Bacteria, D_1__Bacteroidetes, D_2                 986PA         PA        PA       AA       AA      AA
Chitinophaga                                 D_0__Bacteria, D_1__Bacteroidetes, D_2                1834AA         PA        PA       AA       AA      AA
Niastella                                    D_0__Bacteria, D_1__Bacteroidetes, D_2                 794AA         AP        AA       AP       AA      PA
Taibaiella                                   D_0__Bacteria, D_1__Bacteroidetes, D_2                2200PA         N         N        AP       AP      I
